"custom_id","scale_id","item_id","covariate","threshold_dif_probability_0_100","dif_label","keyword_score_0_100","expected_direction","confidence_0_100","rationale"
"pilot_007","parent_acculturative_stress","parent_acculturative_stress__p_accul_str_07","discrim_any",90,FALSE,70,"positive",90,"Experiencing discrimination due to foreign origin directly aligns with the item's stated reason for feeling intimidated."
"pilot_008","parent_acculturative_stress","parent_acculturative_stress__p_accul_str_08","discrim_any",90,FALSE,70,"positive",90,"Experiencing discrimination directly reinforces the feeling of low social status due to foreign origin, potentially lowering response thresholds at the same latent stress level."
"pilot_028","youth_worry","youth_worry__s_worry_02","income_c",90,FALSE,15,"negative",90,"Greater household income provides resources that can alleviate specific worries related to college entrance and career paths, leading to lower endorsement at the same latent worry level."
"pilot_010","youth_acculturative_stress","youth_acculturative_stress__s_accul_str_02","discrim_any",85,FALSE,70,"positive",90,"The item's focus on 'foreign parents' directly relates to a common basis for discrimination, potentially making the item more salient for those who have experienced it."
"pilot_008","parent_acculturative_stress","parent_acculturative_stress__p_accul_str_08","income_c",80,FALSE,60,"negative",80,"Higher income directly contributes to social status, potentially buffering the feeling of low social status due to foreign origin and raising response thresholds at the same latent stress level."
"pilot_018","parent_self_esteem","parent_self_esteem__p_esteem_01","discrim_any",80,FALSE,15,"negative",85,"Experiencing discrimination may make respondents interpret 'as valuable as others' differently, potentially lowering endorsement of high categories even at the same latent self-esteem level."
"pilot_024","youth_bicultural_acceptance","youth_bicultural_acceptance__biticul_acc_03","discrim_any",80,FALSE,70,"negative",85,"Experiencing discrimination related to foreign parentage may make it harder to express pride in that aspect, shifting response thresholds."
"pilot_028","youth_worry","youth_worry__s_worry_02","korean_c",80,FALSE,15,"negative",85,"Lower Korean proficiency can directly impede academic and career prospects in Korea, making these problems feel more acute at the same latent worry level."
"pilot_009","youth_acculturative_stress","youth_acculturative_stress__s_accul_str_01","age_c",75,FALSE,15,"negative",85,"Younger adolescents may have different social coping mechanisms or interpret 'jokes' differently than older adolescents, potentially lowering their threshold for reporting stress from such jokes at the same latent level."
"pilot_028","youth_worry","youth_worry__s_worry_02","discrim_any",75,FALSE,15,"positive",80,"Experiencing discrimination may make college entrance and career path problems feel more challenging or uncertain, leading to higher endorsement at the same latent worry level."
