"custom_id","scale_id","item_id","covariate","threshold_dif_probability_0_100","dif_label","keyword_score_0_100","expected_direction","confidence_0_100","rationale"
"pilot_012","youth_acculturative_stress","youth_acculturative_stress__s_accul_str_04","discrim_any",0,TRUE,15,"unclear",100,"The item focuses on stress from language ability, which is not directly altered by discrimination experience at the same latent stress level."
"pilot_010","youth_acculturative_stress","youth_acculturative_stress__s_accul_str_02","gender",5,TRUE,15,"unclear",95,"There is no gendered language or context in the item wording that would suggest different response thresholds for males versus females."
"pilot_023","youth_bicultural_acceptance","youth_bicultural_acceptance__biticul_acc_02","age_c",5,TRUE,15,"unclear",50,"The meaning of 'enjoying' or 'home country culture' in the item wording is unlikely to be interpreted differently across adolescent ages at the same latent level."
"pilot_025","youth_bicultural_acceptance","youth_bicultural_acceptance__biticul_acc_04","korean_c",5,TRUE,65,"unclear",80,"The item uses straightforward language, making it unlikely that Korean proficiency would differentially affect its interpretation at the same latent level of pride, assuming basic comprehension."
"pilot_029","youth_worry","youth_worry__s_worry_03","income_c",5,TRUE,60,"unclear",90,"Household income directly relates to the content of the item, making it a strong predictor of the latent construct itself rather than a source of differential item functioning at the same worry level."
"pilot_003","parent_acculturative_stress","parent_acculturative_stress__p_accul_str_03","korean_c",10,TRUE,15,"unclear",20,"Korean proficiency primarily affects communication and integration, with little direct item-wording mechanism to alter thresholds for longing for hometown."
"pilot_004","parent_acculturative_stress","parent_acculturative_stress__p_accul_str_04","discrim_any",10,TRUE,15,"unclear",50,"Discrimination is a general stressor contributing to the latent construct, but does not directly alter the interpretation of sadness about an unfamiliar environment."
"pilot_005","parent_acculturative_stress","parent_acculturative_stress__p_accul_str_05","discrim_any",10,TRUE,15,"unclear",70,"Discrimination is more likely to influence the true level of acculturative stress rather than altering the interpretation or threshold for 'missing one's homeland' at the same latent level."
"pilot_022","youth_bicultural_acceptance","youth_bicultural_acceptance__biticul_acc_01","gender",10,TRUE,15,"unclear",90,"The item's general wording does not suggest a gender-specific interpretation or response bias at the same latent level."
"pilot_024","youth_bicultural_acceptance","youth_bicultural_acceptance__biticul_acc_03","age_c",10,TRUE,15,"unclear",15,"The item wording does not suggest that age would systematically alter the threshold for expressing pride in foreign parentage at the same latent level."
