"custom_id","scale_id","item_id","covariate","threshold_dif_probability_0_100","dif_label","keyword_score_0_100","expected_direction","confidence_0_100","rationale"
"pilot_027","parent_acculturation","parent_acculturation__p_accul_02","korean_c",95,TRUE,65,"negative",95,"Lower Korean proficiency would directly impede the ability to effectively express feelings to Koreans, making it genuinely harder to talk about feelings regardless of underlying acculturation."
"pilot_002","parent_acculturative_stress","parent_acculturative_stress__p_accul_str_02","discrim_any",90,TRUE,70,"positive",90,"Respondents who have reported any discrimination may have a lower threshold for endorsing perceived prejudice, even at the same latent acculturative stress level."
"pilot_007","parent_acculturative_stress","parent_acculturative_stress__p_accul_str_07","discrim_any",90,FALSE,70,"positive",90,"Experiencing discrimination due to foreign origin directly aligns with the item's stated reason for feeling intimidated."
"pilot_008","parent_acculturative_stress","parent_acculturative_stress__p_accul_str_08","discrim_any",90,FALSE,70,"positive",90,"Experiencing discrimination directly reinforces the feeling of low social status due to foreign origin, potentially lowering response thresholds at the same latent stress level."
"pilot_009","youth_acculturative_stress","youth_acculturative_stress__s_accul_str_01","discrim_any",90,TRUE,70,"positive",90,"Individuals who have experienced broader discrimination may be more attuned to or sensitive to cultural jokes, leading them to report higher stress from such jokes even at the same latent acculturative stress level."
"pilot_012","youth_acculturative_stress","youth_acculturative_stress__s_accul_str_04","korean_c",90,TRUE,65,"negative",90,"Respondents with higher Korean proficiency may find it harder to endorse stress from poor Korean skills, even at the same latent acculturative stress level."
"pilot_016","youth_acculturative_stress","youth_acculturative_stress__s_accul_str_08","discrim_any",90,TRUE,70,"positive",90,"Respondents reporting general discrimination may be more attuned to or interpret 'bothering' by neighbors as more severe, leading to higher endorsement at the same latent acculturative stress level."
"pilot_017","youth_acculturative_stress","youth_acculturative_stress__s_accul_str_09","discrim_any",90,TRUE,70,"positive",90,"Prior experience of discrimination may lower the threshold for endorsing an item directly describing negative treatment from the dominant group, even at the same latent stress level."
"pilot_026","parent_acculturation","parent_acculturation__p_accul_01","korean_c",90,TRUE,65,"positive",90,"Lower Korean proficiency may lead individuals to perceive they get along less well due to communication barriers, despite similar underlying acculturation."
"pilot_028","youth_worry","youth_worry__s_worry_02","income_c",90,FALSE,15,"negative",90,"Greater household income provides resources that can alleviate specific worries related to college entrance and career paths, leading to lower endorsement at the same latent worry level."
